 Num:    Value          Size Type    Bind   Vis      Ndx Name
  30: 000000000000000000       0    FILE  Local DEFAULT     ABS crtstuff.c
  31: 000000000000000540       0    FUNC  Local DEFAULT      13 deregister_tm_clones
  32: 000000000000000580       0    FUNC  Local DEFAULT      13 register_tm_clones
  33: 0000000000000005d0       0    FUNC  Local DEFAULT      13 __do_global_dtors_aux
  34: 000000000000201020       1  OBJECT  Local DEFAULT      23 completed.7698
  35: 000000000000200df8       0  OBJECT  Local DEFAULT      19 __do_global_dtors_aux_fini_array_entry
  36: 000000000000000610       0    FUNC  Local DEFAULT      13 frame_dummy
  37: 000000000000200df0       0  OBJECT  Local DEFAULT      18 __frame_dummy_init_array_entry
  38: 000000000000000000       0    FILE  Local DEFAULT     ABS main.c
  39: 000000000000000000       0    FILE  Local DEFAULT     ABS swap.c
  40: 000000000000000000       0    FILE  Local DEFAULT     ABS crtstuff.c
  41: 00000000000000086c       0  OBJECT  Local DEFAULT      17 __FRAME_END__
  42: 000000000000000000       0    FILE  Local DEFAULT     ABS 
  43: 000000000000200df8       0  NOTYPE  Local DEFAULT      18 __init_array_end
  44: 000000000000200e00       0  OBJECT  Local DEFAULT      20 _DYNAMIC
  45: 000000000000200df0       0  NOTYPE  Local DEFAULT      18 __init_array_start
  46: 000000000000000704       0  NOTYPE  Local DEFAULT      16 __GNU_EH_FRAME_HDR
  47: 000000000000200fc0       0  OBJECT  Local DEFAULT      21 _GLOBAL_OFFSET_TABLE_
  48: 0000000000000006f0       2    FUNC Global DEFAULT      13 __libc_csu_fini
  49: 000000000000000000       0  NOTYPE   Weak DEFAULT     UND _ITM_deregisterTMCloneTable
  50: 000000000000201000       0  NOTYPE   Weak DEFAULT      22 data_start
  51: 000000000000201020       0  NOTYPE Global DEFAULT      22 _edata
  52: 0000000000000006f4       0    FUNC Global DEFAULT      14 _fini
  53: 000000000000000000       0    FUNC Global DEFAULT     UND __libc_start_main@@GLIBC_2.2.5
  54: 000000000000201000       0  NOTYPE Global DEFAULT      22 __data_start
  55: 000000000000201018       8  OBJECT Global DEFAULT      22 bufp0
  56: 000000000000000000       0  NOTYPE   Weak DEFAULT     UND __gmon_start__
  57: 000000000000201008       0  OBJECT Global  HIDDEN      22 __dso_handle
  58: 000000000000000700       4  OBJECT Global DEFAULT      15 _IO_stdin_used
  59: 000000000000000680     101    FUNC Global DEFAULT      13 __libc_csu_init
  60: 000000000000201030       0  NOTYPE Global DEFAULT      23 _end
  61: 000000000000000510      43    FUNC Global DEFAULT      13 _start
  62: 000000000000201010       8  OBJECT Global DEFAULT      22 buf
  63: 000000000000201020       0  NOTYPE Global DEFAULT      23 __bss_start
  64: 00000000000000061a      32    FUNC Global DEFAULT      13 main
  65: 000000000000201020       0  OBJECT Global  HIDDEN      22 __TMC_END__
  66: 000000000000000000       0  NOTYPE   Weak DEFAULT     UND _ITM_registerTMCloneTable
  67: 00000000000000063a      63    FUNC Global DEFAULT      13 swap
  68: 000000000000000000       0    FUNC   Weak DEFAULT     UND __cxa_finalize@@GLIBC_2.2.5
  69: 0000000000000004d0       0    FUNC Global DEFAULT      10 _init
  70: 000000000000201028       8  OBJECT Global DEFAULT      23 bufp1
