   Num:    Value          Size Type    Bind   Vis      Ndx Name
    30: 0000000000000000     0 FILE    LOCAL  DEFAULT  ABS crtstuff.c
    31: 0000000000000540     0 FUNC    LOCAL  DEFAULT   13 deregister_tm_clones
    32: 0000000000000580     0 FUNC    LOCAL  DEFAULT   13 register_tm_clones
    33: 00000000000005d0     0 FUNC    LOCAL  DEFAULT   13 __do_global_dtors_aux
    34: 0000000000201020     1 OBJECT  LOCAL  DEFAULT   23 completed.7698
    35: 0000000000200df8     0 OBJECT  LOCAL  DEFAULT   19 __do_global_dtors_aux_fin
    36: 0000000000000610     0 FUNC    LOCAL  DEFAULT   13 frame_dummy
    37: 0000000000200df0     0 OBJECT  LOCAL  DEFAULT   18 __frame_dummy_init_array_
    38: 0000000000000000     0 FILE    LOCAL  DEFAULT  ABS main.c
    39: 0000000000000000     0 FILE    LOCAL  DEFAULT  ABS swap.c
    40: 0000000000000000     0 FILE    LOCAL  DEFAULT  ABS crtstuff.c
    41: 000000000000086c     0 OBJECT  LOCAL  DEFAULT   17 __FRAME_END__
    42: 0000000000000000     0 FILE    LOCAL  DEFAULT  ABS 
    43: 0000000000200df8     0 NOTYPE  LOCAL  DEFAULT   18 __init_array_end
    44: 0000000000200e00     0 OBJECT  LOCAL  DEFAULT   20 _DYNAMIC
    45: 0000000000200df0     0 NOTYPE  LOCAL  DEFAULT   18 __init_array_start
    46: 0000000000000704     0 NOTYPE  LOCAL  DEFAULT   16 __GNU_EH_FRAME_HDR
    47: 0000000000200fc0     0 OBJECT  LOCAL  DEFAULT   21 _GLOBAL_OFFSET_TABLE_
    48: 00000000000006f0     2 FUNC    GLOBAL DEFAULT   13 __libc_csu_fini
    49: 0000000000000000     0 NOTYPE  WEAK   DEFAULT  UND _ITM_deregisterTMCloneTab
    50: 0000000000201000     0 NOTYPE  WEAK   DEFAULT   22 data_start
    51: 0000000000201020     0 NOTYPE  GLOBAL DEFAULT   22 _edata
    52: 00000000000006f4     0 FUNC    GLOBAL DEFAULT   14 _fini
    53: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND __libc_start_main@@GLIBC_
    54: 0000000000201000     0 NOTYPE  GLOBAL DEFAULT   22 __data_start
    55: 0000000000201018     8 OBJECT  GLOBAL DEFAULT   22 bufp0
    56: 0000000000000000     0 NOTYPE  WEAK   DEFAULT  UND __gmon_start__
    57: 0000000000201008     0 OBJECT  GLOBAL HIDDEN    22 __dso_handle
    58: 0000000000000700     4 OBJECT  GLOBAL DEFAULT   15 _IO_stdin_used
    59: 0000000000000680   101 FUNC    GLOBAL DEFAULT   13 __libc_csu_init
    60: 0000000000201030     0 NOTYPE  GLOBAL DEFAULT   23 _end
    61: 0000000000000510    43 FUNC    GLOBAL DEFAULT   13 _start
    62: 0000000000201010     8 OBJECT  GLOBAL DEFAULT   22 buf
    63: 0000000000201020     0 NOTYPE  GLOBAL DEFAULT   23 __bss_start
    64: 000000000000061a    32 FUNC    GLOBAL DEFAULT   13 main
    65: 0000000000201020     0 OBJECT  GLOBAL HIDDEN    22 __TMC_END__
    66: 0000000000000000     0 NOTYPE  WEAK   DEFAULT  UND _ITM_registerTMCloneTable
    67: 000000000000063a    63 FUNC    GLOBAL DEFAULT   13 swap
    68: 0000000000000000     0 FUNC    WEAK   DEFAULT  UND __cxa_finalize@@GLIBC_2.2
    69: 00000000000004d0     0 FUNC    GLOBAL DEFAULT   10 _init
    70: 0000000000201028     8 OBJECT  GLOBAL DEFAULT   23 bufp1
